Crop,Soil_Type,Temperature,Nitrogen,Phosphorus,Potassium,Fertilizer,Type,Dosage,Stage,Timing,Benefits,Caution
Apple,Loamy,18,80,40,40,Organic Mulch,Organic,4 tons/hectare,Basal,Pre-planting,Improves moisture retention,Maintain mulch

Orange,Loamy,25,90,45,45,NPK,Chemical,160 kg/hectare,Flowering,Pre-flowering,Improves fruit yield,Avoid excess
Orange,Loamy,25,90,45,45,Compost,Organic,5 tons/hectare,Basal,Pre-planting,Improves soil fertility,Use decomposed compost

Grapes,Loamy,24,85,50,50,NPK,Chemical,150 kg/hectare,Flowering,Split application,Improves fruit quality,Avoid overuse
Grapes,Loamy,24,85,50,50,Vermicompost,Organic,4 tons/hectare,Basal,Pre-planting,Improves soil,Avoid waterlogging

Pineapple,Sandy,27,70,40,40,Urea,Chemical,120 kg/hectare,Vegetative,Split doses,Improves yield,Avoid drought
Pineapple,Sandy,27,70,40,40,Compost,Organic,4 tons/hectare,Basal,Pre-planting,Improves soil structure,Apply evenly

Guava,Loamy,28,80,40,40,NPK,Chemical,140 kg/hectare,Vegetative,Split application,Improves yield,Avoid excess
Guava,Loamy,28,80,40,40,Compost,Organic,4 tons/hectare,Basal,Pre-planting,Improves soil health,Use decomposed compost
